inning,batting_team,bowling_team,extra_runs,match_year
1,SRH,RCB,14,2016
2,RCB,SRH,9,2016
1,KXI,DD,4,2016
2,DD,KXI,10,2016
1,SRH,KKR,8,2016
2,KKR,SRH,5,2016
1,MI,GL,10,2016
2,GL,MI,11,2016
1,SRH,RCB,7,2017
2,RCB,SRH,6,2017
1,SRH,MI,11,2017
2,MI,SRH,4,2017
1,KXI,KKR,16,2017
2,KKR,KXI,11,2017
1,RCB,MI,11,2017
2,MI,RCB,13,2017
1,RPS,GL,5,2017
2,GL,RPS,5,2017
1,KKR,SRH,11,2017
2,SRH,KKR,7,2017
1,DD,KXI,10,2017
2,KXI,DD,2,2017
1,GL,MI,11,2017
2,MI,GL,13,2017
1,RPS,RCB,13,2017
2,RCB,RPS,8,2017
1,DD,KKR,3,2017
2,KKR,DD,11,2017
1,SRH,KXI,11,2017
2,KXI,SRH,10,2017
1,MI,RPS,8,2017
2,RPS,MI,4,2017
1,RCB,GL,4,2017
2,GL,RCB,8,2017
1,SRH,DD,4,2017
2,DD,SRH,7,2017
1,KXI,MI,12,2017
2,MI,KXI,8,2017
1,KKR,GL,3,2017
2,GL,KKR,5,2017
1,MI,DD,16,2017
2,DD,MI,8,2017
1,SRH,RPS,8,2017
2,RPS,SRH,3,2017
1,KXI,GL,5,2017
2,GL,KXI,7,2017
1,KKR,RCB,8,2017
2,RCB,KKR,7,2017
1,RPS,MI,4,2017
2,MI,RPS,6,2017
1,RPS,KKR,7,2017
2,KKR,RPS,13,2017
1,GL,KKR,4,2017
2,KKR,GL,15,2017
1,RCB,GL,12,2017
2,GL,RCB,8,2017
1,DD,KKR,7,2017
2,KKR,DD,10,2017
1,SRH,KXI,3,2017
2,KXI,SRH,5,2017
1,RPS,RCB,4,2017
2,RCB,RPS,4,2017
1,GL,MI,11,2017
2,MI,GL,1,2017
3,MI,GL,0,2017
4,GL,MI,4,2017
1,DD,KXI,5,2017
2,KXI,DD,2,2017
1,SRH,KKR,8,2017
2,KKR,SRH,5,2017
1,RCB,MI,4,2017
2,MI,RCB,7,2017
1,GL,RPS,7,2017
2,RPS,GL,7,2017
1,SRH,DD,8,2017
2,DD,SRH,3,2017
1,RPS,KXI,6,2017
2,KXI,RPS,10,2017
1,KKR,RPS,5,2017
2,RPS,KKR,8,2017
1,GL,DD,5,2017
2,DD,GL,12,2017
1,KXI,RCB,12,2017
2,RCB,KXI,7,2017
1,RPS,SRH,7,2017
2,SRH,RPS,2,2017
1,MI,DD,19,2017
2,DD,MI,3,2017
1,RCB,KKR,3,2017
2,KKR,RCB,6,2017
1,KXI,GL,3,2017
2,GL,KXI,6,2017
1,MI,SRH,10,2017
2,SRH,MI,4,2017
1,KXI,KKR,12,2017
2,KKR,KXI,4,2017
1,GL,DD,11,2017
2,DD,GL,3,2017
1,RCB,DD,6,2017
2,DD,RCB,5,2017
1,KXI,MI,10,2017
2,MI,KXI,8,2017
1,DD,RPS,7,2017
2,RPS,DD,10,2017
1,GL,SRH,6,2017
2,SRH,GL,4,2017
1,MI,KKR,17,2017
2,KKR,MI,8,2017
1,KXI,RPS,3,2017
2,RPS,KXI,1,2017
1,RCB,DD,9,2017
2,DD,RCB,7,2017
1,RPS,MI,7,2017
2,MI,RPS,9,2017
1,SRH,KKR,7,2017
2,KKR,SRH,4,2017
1,KKR,MI,7,2017
2,MI,KKR,8,2017
1,MI,RPS,8,2017
2,RPS,MI,9,2017
1,GL,SRH,3,2017
2,SRH,GL,3,2017
1,KKR,MI,9,2017
2,MI,KKR,12,2017
1,RCB,KXI,4,2017
2,KXI,RCB,6,2017
1,DD,RPS,8,2017
2,RPS,DD,5,2017
